sym_idx,demod_I,demod_Q,locked
315,-1798,-994,0
316,1878,1510,0
317,-705,585,0
318,2012,-448,0
319,2018,359,0
320,844,-1764,0
321,1814,956,0
322,1530,-1862,0
323,1832,907,0
324,769,-465,0
325,-525,-762,0
326,-814,487,1
327,743,-518,1
328,1580,-1865,1
329,1855,1594,1
330,483,704,1
331,-602,-834,1
332,1966,-425,1
333,-1944,299,1
334,470,661,1
335,-1865,-1592,1
336,-1870,-1570,1
337,564,711,1
338,711,-476,1
339,1991,-264,1
340,735,-581,1
341,1894,1502,1
342,338,1948,1
343,-2019,-372,1
344,985,-1801,1
345,-759,513,1
346,-1784,-919,1
347,560,786,1
348,1698,-1824,1
349,1868,1569,1
350,-367,2047,1
351,2007,-237,1
352,622,-484,1
353,-750,549,1
354,805,-565,1
355,-872,1768,1
356,406,-2021,1
357,-898,1885,1
358,-606,-692,1
359,1620,-1924,1
360,-1857,-988,1
361,-417,-2024,1
362,-514,-792,1
363,1654,-1966,1
364,-1992,387,1
365,-1833,-928,1
366,-2015,353,1
367,385,1986,1
368,-2003,399,1
369,-2013,-1609,1
370,2009,1671,1
371,715,-496,1
372,576,664,1
373,-2047,1594,1
374,-752,488,1
375,1878,915,1
376,-2047,1585,1
377,-777,506,1
378,-750,574,1
379,1584,2008,1
380,-1987,320,1
381,510,722,1
382,1991,-480,1
383,-1673,-1968,1
384,-739,625,1
385,1846,933,1
386,2021,-390,1
387,1905,880,1
388,-1987,356,1
389,365,2020,1
390,-1907,-797,1
391,-1904,-922,1
392,536,640,1
393,1946,-453,1
394,557,692,1
395,1863,-1605,1
396,-494,-669,1
397,828,-534,1
398,1811,-1733,1
399,686,-523,1
400,400,2010,1
401,-687,480,1
402,822,-548,1
403,1798,-1602,1
404,-871,1839,1
405,-1795,1632,1
406,-2003,434,1
407,1979,-529,1
408,1598,1769,1
409,1774,-1572,1
410,-404,-1989,1
411,1691,1717,1
412,-1822,-852,1
413,2004,-402,1
414,-479,-1957,1
415,-1749,1554,1
416,-1920,-855,1
417,-1695,1663,1
418,-810,1838,1
419,-1706,1618,1
420,-1595,-1680,1
421,-1651,-1659,1
422,1916,782,1
423,933,-1865,1
424,-363,-2023,1
425,-422,-2010,1
426,-1621,1711,1
427,428,2004,1
428,-928,1823,1
429,1941,-465,1
430,1623,-1583,1
431,-1995,391,1
432,767,-1915,1
433,-787,1837,1
434,1892,844,1
435,-1966,404,1
436,604,754,1
437,-871,1887,1
438,-1622,1485,1
439,-1923,-812,1
440,2027,-426,1
441,1567,1589,1
442,-850,1861,1
443,-456,-2025,1
444,-1601,1484,1
445,-590,-720,1
446,1551,1572,1
447,665,-531,1
